"scan_id","url","error_type","error_message"
"82c82020-cb0b-4eba-b46f-320899614cd8","https://coc-layout.com/base/top-war-base-th16-with-link-anti-3-stars-cwl-plan-2025-clash-of-clans-16","URL_UNREACHABLE","page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""https://coc-layout.com/base/top-war-base-th16-with-link-anti-3-stars-cwl-plan-2025-clash-of-clans-16"", waiting until ""networkidle""[22m
"
"ce947457-0a4a-4fb2-8e05-2d589135ef04","https://coc-layout.com/base/6500-trophy-th18-legend-league-base-4-anti-meteor-golem-coc-layout","URL_UNREACHABLE","page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""https://coc-layout.com/base/6500-trophy-th18-legend-league-base-4-anti-meteor-golem-coc-layout"", waiting until ""networkidle""[22m
"
